Date,State,Market Arrivals (given year),Market Arrivals (previous year),% (+/-) WRT(previous year),State%
2020-01-01,Andhra Pradesh,0.0,0.0,0.0,0.0
2020-01-01,Chattisgarh,5577.4,5087.9,9.62,1.17
2020-01-01,Gujarat,2863.36,5494.52,-47.89,0.6
2020-01-01,Karnataka,10601.0,11535.0,-8.1,2.23
2020-01-01,Madhya Pradesh,260384.68,703974.73,-63.01,54.83
2020-01-01,Maharashtra,149603.0,200976.0,-25.56,31.5
2020-01-01,Manipur,124.8,100.4,24.3,0.03
2020-01-01,Nagaland,16.0,0.0,1600.0,0.0
2020-01-01,Rajasthan,43426.3,53898.5,-19.43,9.14
2020-01-01,Tamil Nadu,0.0,0.0,0.0,0.0
2020-01-01,Telangana,1426.15,329.3,333.09,0.3
2020-01-01,Uttar Pradesh,775.4,1051.5,-26.26,0.16
2020-01-01,Uttrakhand,105.1,0.0,10510.0,0.02
2020-02-01,Andhra Pradesh,0.0,0.0,0.0,0.0
2020-02-01,Chattisgarh,2757.3,5875.2,-53.07,1.07
2020-02-01,Gujarat,1287.24,2724.23,-52.75,0.5
2020-02-01,Karnataka,3471.0,6356.0,-45.39,1.35
2020-02-01,Madhya Pradesh,153224.3,207486.23,-26.15,59.4
2020-02-01,Maharashtra,73268.0,114547.0,-36.04,28.41
2020-02-01,Manipur,112.3,116.7,-3.77,0.04
2020-02-01,Nagaland,0.0,0.0,0.0,0.0
2020-02-01,Rajasthan,22648.8,38313.6,-40.89,8.78
2020-02-01,Tamil Nadu,0.0,0.0,0.0,0.0
2020-02-01,Telangana,225.35,1197.56,-81.18,0.09
2020-02-01,Uttar Pradesh,857.6,1113.0,-22.95,0.33
2020-02-01,Uttrakhand,80.4,0.0,8040.0,0.03
2020-03-01,Andhra Pradesh,0.0,0.0,0.0,0.0
2020-03-01,Chattisgarh,792.9,4523.6,-82.47,0.93
2020-03-01,Gujarat,369.5,1220.16,-69.72,0.43
2020-03-01,Karnataka,1259.0,5321.0,-76.34,1.48
2020-03-01,Madhya Pradesh,48728.39,122775.13,-60.31,57.1
2020-03-01,Maharashtra,25356.0,81073.0,-68.72,29.71
2020-03-01,Manipur,75.5,142.7,-47.09,0.09
2020-03-01,Nagaland,0.0,0.0,0.0,0.0
2020-03-01,Rajasthan,8185.7,20524.3,-60.12,9.59
2020-03-01,Tamil Nadu,0.0,0.0,0.0,0.0
2020-03-01,Telangana,135.6,346.6,-60.88,0.16
2020-03-01,Uttar Pradesh,426.0,838.4,-49.19,0.5
2020-03-01,Uttrakhand,3.9,45.3,-91.39,0.0
2020-04-01,Andhra Pradesh,0.0,0.0,0.0,0.0
2020-04-01,Chattisgarh,491.0,5942.6,-91.74,4.06
2020-04-01,Gujarat,98.3,1122.24,-91.24,0.81
2020-04-01,Karnataka,1516.0,8418.0,-81.99,12.52
2020-04-01,Madhya Pradesh,7221.1,172459.36,-95.81,59.66
2020-04-01,Maharashtra,2135.0,85956.0,-97.52,17.64
2020-04-01,Manipur,0.0,114.8,-100.0,0.0
2020-04-01,Nagaland,0.0,0.0,0.0,0.0
2020-04-01,Rajasthan,298.3,12278.0,-97.57,2.46
2020-04-01,Tamil Nadu,0.0,0.0,0.0,0.0
2020-04-01,Telangana,50.0,209.4,-76.12,0.41
2020-04-01,Uttar Pradesh,295.0,713.5,-58.65,2.44
2020-04-01,Uttrakhand,0.0,0.0,0.0,0.0
2020-05-01,Andhra Pradesh,0.0,0.0,0.0,0.0
2020-05-01,Chattisgarh,2054.8,5497.8,-62.63,1.7
2020-05-01,Gujarat,561.2,1297.23,-56.74,0.46
2020-05-01,Karnataka,2476.0,4740.0,-47.76,2.05
2020-05-01,Madhya Pradesh,49310.97,159510.26,-69.09,40.85
2020-05-01,Maharashtra,64103.0,75784.0,-15.41,53.11
2020-05-01,Manipur,0.0,153.2,-100.0,0.0
2020-05-01,Nagaland,0.0,0.0,0.0,0.0
2020-05-01,Rajasthan,1810.7,16556.9,-89.06,1.5
2020-05-01,Tamil Nadu,0.0,0.0,0.0,0.0
2020-05-01,Telangana,0.0,50.58,-100.0,0.0
2020-05-01,Uttar Pradesh,380.0,1137.4,-66.59,0.31
2020-05-01,Uttrakhand,5.1,0.0,510.0,0.0
2020-06-01,Andhra Pradesh,0.0,0.0,0.0,0.0
2020-06-01,Chattisgarh,2647.3,3184.9,-16.88,0.78
2020-06-01,Gujarat,1454.56,1125.02,29.29,0.43
2020-06-01,Karnataka,4336.0,1930.0,124.66,1.29
2020-06-01,Madhya Pradesh,213749.72,203021.28,5.28,63.37
2020-06-01,Maharashtra,84674.0,75382.0,12.33,25.1
2020-06-01,Manipur,44.3,120.0,-63.08,0.01
2020-06-01,Nagaland,0.0,0.0,0.0,0.0
2020-06-01,Rajasthan,29782.3,21284.6,39.92,8.83
2020-06-01,Tamil Nadu,0.0,0.0,0.0,0.0
2020-06-01,Telangana,98.5,15.9,519.5,0.03
2020-06-01,Uttar Pradesh,541.9,1024.9,-47.13,0.16
2020-06-01,Uttrakhand,0.0,25.7,-100.0,0.0
2020-07-01,Andhra Pradesh,0.0,0.0,0.0,0.0
2020-07-01,Chattisgarh,1086.3,2800.9,-61.22,0.41
2020-07-01,Gujarat,700.4,1719.48,-59.27,0.26
2020-07-01,Karnataka,3604.0,1367.0,163.64,1.35
2020-07-01,Madhya Pradesh,177180.37,275225.6,-35.62,66.17
2020-07-01,Maharashtra,45300.0,44876.0,0.94,16.92
2020-07-01,Manipur,45.9,135.0,-66.0,0.02
2020-07-01,Nagaland,0.0,0.0,0.0,0.0
2020-07-01,Rajasthan,39525.7,26474.9,49.29,14.76
2020-07-01,Tamil Nadu,0.0,0.0,0.0,0.0
2020-07-01,Telangana,0.0,93.1,-100.0,0.0
2020-07-01,Uttar Pradesh,332.4,1489.0,-77.68,0.12
2020-07-01,Uttrakhand,5.3,0.0,530.0,0.0
2020-08-01,Andhra Pradesh,0.0,0.0,0.0,0.0
2020-08-01,Chattisgarh,557.3,2776.9,-79.93,0.25
2020-08-01,Gujarat,512.7,1215.25,-57.81,0.23
2020-08-01,Karnataka,4162.0,3046.0,36.64,1.88
2020-08-01,Madhya Pradesh,148020.27,130306.56,13.59,66.92
2020-08-01,Maharashtra,48973.0,43868.0,11.64,22.14
2020-08-01,Manipur,0.0,125.0,-100.0,0.0
2020-08-01,Nagaland,0.0,0.0,0.0,0.0
2020-08-01,Rajasthan,18551.8,17270.9,7.42,8.39
2020-08-01,Tamil Nadu,0.0,0.0,0.0,0.0
2020-08-01,Telangana,68.2,106.2,-35.78,0.03
2020-08-01,Uttar Pradesh,358.8,1105.0,-67.53,0.16
2020-08-01,Uttrakhand,0.0,0.3,-100.0,0.0
2020-09-01,Andhra Pradesh,0.0,0.0,0.0,0.0
2020-09-01,Chattisgarh,489.7,1717.8,-71.49,0.18
2020-09-01,Gujarat,1037.9,946.4,9.67,0.37
2020-09-01,Karnataka,7196.0,3219.0,123.55,2.58
2020-09-01,Madhya Pradesh,141319.96,115337.87,22.53,50.61
2020-09-01,Maharashtra,88291.0,52456.0,68.31,31.62
2020-09-01,Manipur,53.0,117.2,-54.78,0.02
2020-09-01,Nagaland,0.0,0.0,0.0,0.0
