Date,State,Price,PrevMonthPrice,PrevYearPrice,ChangePrevMonth,ChangePrevYear
2020-01-01,Andhra Pradesh,4259.0,4394.0,4338.0,-3.072371415566682,-1.8211157215306595
2020-01-01,Chattisgarh,4919.0,4820.0,3775.0,2.0539419087136928,30.304635761589406
2020-01-01,Gujarat,4774.0,4537.0,4067.0,5.223716111968261,17.38382099827883
2020-01-01,Karnataka,4523.0,4220.0,4411.0,7.180094786729859,2.539106778508275
2020-01-01,Madhya Pradesh,4238.0,3914.0,3723.0,8.277976494634645,13.832930432446952
2020-01-01,Maharashtra,4420.0,4613.0,4548.0,-4.183828311294169,-2.8144239226033423
2020-01-01,Manipur,4540.0,4473.0,4338.0,1.4978761457634697,4.6565237436606735
2020-01-01,Nagaland,4540.0,4473.0,4338.0,1.4978761457634697,4.6565237436606735
2020-01-01,Rajasthan,4540.0,4473.0,3864.0,1.4978761457634697,17.494824016563147
2020-01-01,Tamil Nadu,5915.0,5504.0,6221.0,7.467296511627906,-4.918823340298988
2020-01-01,Telangana,4953.0,4392.0,4206.0,12.773224043715848,17.76034236804565
2020-01-01,Uttar Pradesh,4475.0,3992.0,4438.0,12.099198396793586,0.8337088778729157
2020-01-01,Uttrakhand,5247.0,5417.0,4900.0,-3.1382684142514305,7.081632653061225
2020-02-01,Andhra Pradesh,4664.0,4259.0,4379.0,9.509274477576895,6.508335236355332
2020-02-01,Chattisgarh,5034.0,4919.0,4076.0,2.3378735515348645,23.503434739941117
2020-02-01,Gujarat,4934.0,4774.0,4106.0,3.3514872224549643,20.1656113005358
2020-02-01,Karnataka,5266.0,4523.0,4634.0,16.427150121600707,13.638325420802763
2020-02-01,Madhya Pradesh,4221.0,4238.0,3622.0,-0.4011326097215668,16.537824406405303
2020-02-01,Maharashtra,4535.0,4420.0,4317.0,2.6018099547511313,5.049803104007412
2020-02-01,Manipur,4934.0,4540.0,4234.0,8.678414096916299,16.532829475673122
2020-02-01,Nagaland,4934.0,4540.0,4234.0,8.678414096916299,16.532829475673122
2020-02-01,Rajasthan,4465.0,4540.0,3965.0,-1.6519823788546255,12.610340479192939
2020-02-01,Tamil Nadu,6301.0,5915.0,6557.0,6.525781910397295,-3.9042244929083427
2020-02-01,Telangana,5291.0,4953.0,4291.0,6.824146981627297,23.30459100442787
2020-02-01,Uttar Pradesh,4671.0,4475.0,4177.0,4.379888268156424,11.8266698587503
2020-02-01,Uttrakhand,8000.0,5247.0,4234.0,52.46807699637889,88.9466225791214
2020-03-01,Andhra Pradesh,5082.0,4664.0,4286.0,8.962264150943396,18.572095193653755
2020-03-01,Chattisgarh,3986.0,5034.0,4302.0,-20.81843464441796,-7.345420734542074
2020-03-01,Gujarat,5296.0,4934.0,4157.0,7.336846372111877,27.399566995429396
2020-03-01,Karnataka,5585.0,5266.0,4449.0,6.057728826433726,25.53382782647786
2020-03-01,Madhya Pradesh,4412.0,4221.0,3793.0,4.524994077232884,16.31953598734511
2020-03-01,Maharashtra,5298.0,4535.0,4910.0,16.824696802646084,7.902240325865581
2020-03-01,Manipur,5082.0,4934.0,4221.5,2.9995946493717067,20.38374985194836
2020-03-01,Nagaland,5082.0,4934.0,4221.5,2.9995946493717067,20.38374985194836
2020-03-01,Rajasthan,4350.0,4465.0,3901.0,-2.57558790593505,11.509869264291208
2020-03-01,Tamil Nadu,6788.0,6301.0,6277.0,7.728931915568957,8.140831607455791
2020-03-01,Telangana,5082.0,5291.0,4126.0,-3.9501039501039505,23.17014057198255
2020-03-01,Uttar Pradesh,4771.0,4671.0,3931.0,2.1408691928923145,21.36860849656576
2020-03-01,Uttrakhand,5082.0,8000.0,4221.5,-36.475,20.38374985194836
2020-04-01,Andhra Pradesh,3619.0,3536.5,3608.5,2.332814930015552,0.2909796314258002
2020-04-01,Chattisgarh,3444.0,3413.0,3535.0,0.9082918253735717,-2.5742574257425743
2020-04-01,Gujarat,3829.0,3615.0,3702.0,5.919778699861687,3.430578065910319
